utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1759257077,-57,2,922,
1759257081,-57,2,922,0.0
1759257084,-58,2,1034,37.3
1759257088,-61,2,1461,106.8
1759257091,-57,0,922,-179.7
1759257095,-60,0,1302,95.0
1759257098,-59,0,1161,-47.0
1759257102,-53,2,582,-144.8
1759257105,-58,2,1034,150.7
1759257109,-66,2,2598,391.0
1759257112,-55,2,732,-622.0
1759257116,-60,2,1302,142.5
1759257119,-59,0,1161,-47.0
1759257123,-59,0,1161,0.0
1759257127,-58,2,1034,-31.8
1759257130,-62,0,1639,201.7
1759257134,-58,0,1034,-151.2
1759257137,-59,0,1161,42.3
1759257141,-58,2,1034,-31.8
1759257144,-59,0,1161,42.3
1759257148,-58,2,1034,-31.8
1759257151,-60,0,1302,89.3
1759257155,-62,0,1639,84.2
1759257158,-58,2,1034,-201.7
1759257162,-60,0,1302,67.0
1759257165,-58,2,1034,-89.3
1759257169,-58,2,1034,0.0
1759257172,-58,0,1034,0.0
1759257176,-58,0,1034,0.0
1759257179,-58,2,1034,0.0
1759257183,-58,2,1034,0.0
1759257187,-61,2,1461,106.8
1759257190,-61,2,1461,0.0
1759257194,-59,2,1161,-75.0
1759257197,-58,2,1034,-42.3
1759257201,-57,0,922,-28.0
1759257204,-60,0,1302,126.7
1759257208,-59,2,1161,-35.2
1759257211,-62,2,1639,159.3
1759257215,-58,2,1034,-151.2
1759257218,-60,2,1302,89.3
1759257222,-59,0,1161,-35.2
1759257225,-60,2,1302,47.0
1759257229,-60,4,1302,0.0
1759257232,-58,2,1034,-89.3
1759257236,-60,2,1302,67.0
1759257239,-58,4,1034,-89.3
1759257243,-59,2,1161,31.8
1759257246,-60,2,1302,47.0
1759257250,-58,2,1034,-67.0
1759257253,-59,2,1161,42.3
1759257257,-58,0,1034,-31.8
1759257260,-57,0,922,-37.3
1759257264,-58,2,1034,28.0
1759257267,-62,2,1639,201.7
1759257271,-60,0,1302,-84.2
1759257274,-58,0,1034,-89.3
1759257278,-58,0,1034,0.0
1759257281,-58,0,1034,0.0
1759257285,-58,0,1034,0.0
1759257288,-58,0,1034,0.0
1759257292,-58,0,1034,0.0
1759257295,-59,0,1161,42.3
1759257299,-58,0,1034,-31.8
1759257302,-58,0,1034,0.0
1759257306,-61,0,1461,106.8
1759257309,-60,2,1302,-53.0
1759257313,-58,2,1034,-67.0
1759257316,-60,2,1302,89.3
1759257320,-58,0,1034,-67.0
1759257324,-58,2,1034,0.0
1759257327,-58,2,1034,0.0
1759257331,-60,2,1302,67.0
1759257334,-60,0,1302,0.0
1759257338,-58,0,1034,-67.0
1759257341,-58,0,1034,0.0
1759257345,-59,0,1161,31.8
1759257349,-60,0,1302,35.2
1759257352,-58,0,1034,-89.3
1759257356,-58,0,1034,0.0
1759257359,-58,2,1034,0.0
1759257363,-58,0,1034,0.0
1759257366,-59,0,1161,42.3
1759257370,-58,0,1034,-31.8
1759257373,-58,2,1034,0.0
1759257377,-58,2,1034,0.0
1759257380,-58,2,1034,0.0
1759257384,-58,2,1034,0.0
1759257387,-57,0,922,-37.3
1759257391,-59,0,1161,59.8
1759257394,-58,0,1034,-42.3
1759257398,-58,2,1034,0.0
1759257401,-59,2,1161,42.3
1759257405,-60,0,1302,35.2
1759257408,-57,0,922,-126.7
1759257412,-58,2,1034,28.0
1759257415,-57,2,922,-37.3
1759257419,-59,0,1161,59.8
1759257422,-57,2,922,-79.7
1759257426,-58,0,1034,28.0
1759257430,-59,2,1161,31.8
1759257433,-58,2,1034,-42.3
1759257437,-63,0,1839,201.2
1759257440,-61,0,1461,-126.0
1759257444,-58,6,1034,-106.8
1759257447,-60,2,1302,89.3
1759257451,-62,2,1639,84.2
1759257454,-58,0,1034,-201.7
1759257458,-60,0,1302,67.0
1759257461,-61,0,1461,53.0
1759257465,-43,2,184,-319.2
1759257469,-48,2,327,35.8
1759257472,-49,2,367,13.3
1759257476,-52,4,518,37.8
1759257479,-66,2,2598,693.3
1759257483,-63,2,1839,-189.8
1759257486,-66,6,2598,253.0
1759257490,-59,2,1161,-359.2
1759257493,-59,2,1161,0.0
1759257497,-58,6,1034,-31.8
1759257500,-55,6,732,-100.7
1759257504,-52,4,518,-53.5
1759257508,-51,6,462,-14.0
1759257511,-56,4,822,120.0
1759257515,-52,6,518,-76.0
1759257518,-53,4,582,21.3
1759257522,-54,2,653,17.8
1759257525,-61,4,1461,269.3
1759257529,-58,6,1034,-106.8
1759257532,-59,4,1161,42.3
1759257536,-59,2,1161,0.0
1759257539,-63,6,1839,226.0
1759257543,-61,4,1461,-94.5
1759257546,-63,4,1839,126.0
1759257550,-56,4,822,-254.2
1759257553,-57,4,922,33.3
1759257557,-65,4,2316,348.5
1759257560,-60,4,1302,-338.0
1759257564,-66,4,2598,324.0
1759257567,-65,0,2316,-94.0
1759257571,-60,0,1302,-253.5
1759257574,-60,0,1302,0.0
1759257578,-65,0,2316,253.5
1759257581,-63,0,1839,-159.0
1759257585,-60,0,1302,-134.2
1759257589,-62,0,1639,84.2
1759257592,-63,0,1839,66.7
1759257595,-64,0,2064,75.0
1759257599,-65,4,2316,63.0
1759257603,-66,0,2598,70.5
1759257606,-66,0,2598,0.0
1759257610,-67,0,2915,79.2
1759257613,-67,0,2915,0.0
1759257617,-65,0,2316,-149.8
1759257620,-67,0,2915,199.7
1759257624,-67,0,2915,0.0
1759257627,-70,0,4118,401.0
1759257631,-68,0,3271,-211.8
1759257634,-68,0,3271,0.0
1759257638,-67,0,2915,-89.0
1759257641,-67,0,2915,0.0
1759257645,-67,0,2915,0.0
1759257648,-69,0,3670,251.7
1759257652,-75,0,7322,913.0
1759257655,-81,0,14610,2429.3
1759257659,-78,0,10343,-1066.8
1759257662,-74,2,6526,-1272.3
1759257666,-71,4,4620,-476.5
1759257669,-72,0,5184,188.0
1759257673,-74,0,6526,335.5
1759257677,-77,0,9218,673.0
