utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1759260661,-60,6,1639,
1759260664,-59,6,1461,-59.3
1759260668,-61,6,1839,94.5
1759260671,-63,6,2316,159.0
1759260675,-55,6,922,-348.5
1759260678,-57,2,1161,79.7
1759260682,-58,6,1302,35.2
1759260685,-53,6,732,-190.0
1759260689,-59,6,1461,182.2
1759260692,-58,6,1302,-53.0
1759260696,-56,6,1034,-67.0
1759260699,-58,6,1302,89.3
1759260703,-55,6,922,-95.0
1759260707,-55,6,922,0.0
1759260710,-56,6,1034,37.3
1759260714,-55,6,922,-28.0
1759260717,-56,6,1034,37.3
1759260721,-55,6,922,-28.0
1759260724,-56,6,1034,37.3
1759260728,-59,6,1461,106.8
1759260731,-56,4,1034,-142.3
1759260735,-58,2,1302,67.0
1759260738,-56,6,1034,-89.3
1759260742,-56,6,1034,0.0
1759260745,-56,6,1034,0.0
1759260749,-58,6,1302,67.0
1759260753,-57,6,1161,-35.2
1759260756,-57,4,1161,0.0
1759260760,-58,4,1302,35.2
1759260763,-56,4,1034,-89.3
1759260767,-59,4,1461,106.8
1759260770,-61,4,1839,126.0
1759260774,-61,6,1839,0.0
1759260777,-59,6,1461,-126.0
1759260781,-61,6,1839,94.5
1759260784,-60,6,1639,-66.7
1759260788,-57,6,1161,-119.5
1759260791,-56,6,1034,-42.3
1759260795,-59,6,1461,106.8
1759260798,-59,6,1461,0.0
1759260802,-58,6,1302,-39.8
1759260805,-58,6,1302,0.0
1759260809,-58,6,1302,0.0
1759260812,-59,6,1461,53.0
1759260816,-59,6,1461,0.0
1759260820,-63,6,2316,213.8
1759260823,-64,6,2598,94.0
1759260827,-62,4,2064,-133.5
1759260830,-60,4,1639,-141.7
1759260834,-60,2,1639,0.0
1759260837,-56,2,1034,-201.7
1759260841,-56,2,1034,0.0
1759260844,-58,2,1302,89.3
1759260848,-58,2,1302,0.0
1759260852,-58,2,1302,0.0
1759260855,-58,2,1302,0.0
1759260859,-56,2,1034,-67.0
1759260862,-57,2,1161,42.3
1759260866,-58,2,1302,35.2
1759260870,-56,2,1034,-67.0
1759260873,-58,2,1302,89.3
1759260877,-61,2,1839,134.2
1759260880,-58,4,1302,-179.0
1759260884,-57,4,1161,-35.2
1759260887,-58,4,1302,47.0
1759260891,-57,4,1161,-35.2
1759260894,-56,4,1034,-42.3
1759260898,-58,4,1302,67.0
1759260901,-57,4,1161,-47.0
1759260905,-55,6,922,-59.8
1759260909,-66,6,3271,587.2
1759260912,-59,4,1461,-603.3
1759260916,-63,4,2316,213.8
1759260919,-60,4,1639,-225.7
1759260923,-61,4,1839,50.0
1759260926,-59,4,1461,-126.0
1759260930,-58,4,1302,-39.8
1759260933,-56,4,1034,-89.3
1759260937,-56,4,1034,0.0
1759260940,-56,4,1034,0.0
1759260944,-59,4,1461,106.8
1759260947,-61,4,1839,126.0
1759260951,-60,6,1639,-50.0
1759260954,-61,6,1839,66.7
1759260958,-59,6,1461,-94.5
1759260961,-56,6,1034,-142.3
1759260965,-57,6,1161,31.8
1759260968,-55,6,922,-79.7
1759260972,-57,6,1161,59.8
1759260975,-55,6,922,-79.7
1759260979,-58,6,1302,95.0
1759260982,-58,4,1302,0.0
1759260986,-58,6,1302,0.0
1759260989,-61,6,1839,179.0
1759260993,-59,6,1461,-94.5
1759260996,-60,6,1639,59.3
1759261000,-61,6,1839,50.0
1759261004,-59,6,1461,-94.5
1759261007,-61,6,1839,126.0
1759261011,-61,6,1839,0.0
1759261014,-61,6,1839,0.0
1759261018,-60,6,1639,-50.0
1759261021,-58,6,1302,-112.3
1759261025,-59,6,1461,39.8
1759261028,-59,6,1461,0.0
1759261032,-77,6,11605,2536.0
1759261035,-62,6,2064,-3180.3
1759261039,-43,6,232,-458.0
1759261042,-46,6,327,31.7
1759261046,-56,6,1034,176.8
1759261049,-68,4,4118,1028.0
1759261053,-51,4,582,-884.0
1759261056,-49,4,462,-40.0
1759261060,-55,4,922,115.0
1759261063,-46,6,327,-198.3
1759261067,-43,4,232,-23.8
1759261070,-46,4,327,31.7
1759261074,-46,4,327,0.0
1759261077,-42,4,206,-40.3
1759261081,-37,4,116,-22.5
1759261084,-52,4,653,179.0
1759261088,-52,4,653,0.0
1759261091,-51,4,582,-23.7
1759261095,-47,4,367,-53.8
1759261098,-56,4,1034,222.3
1759261102,-48,6,412,-155.5
1759261106,-51,4,582,42.5
1759261109,-53,4,732,50.0
1759261113,-57,4,1161,107.2
1759261116,-56,4,1034,-42.3
1759261120,-56,4,1034,0.0
1759261123,-54,4,822,-70.7
1759261127,-58,2,1302,120.0
1759261130,-66,2,3271,656.3
1759261134,-60,4,1639,-408.0
1759261137,-58,4,1302,-112.3
1759261141,-60,0,1639,84.2
1759261144,-57,0,1161,-159.3
1759261148,-58,0,1302,35.2
1759261151,-62,0,2064,254.0
1759261155,-58,4,1302,-190.5
1759261158,-56,0,1034,-89.3
1759261162,-58,0,1302,67.0
1759261165,-59,0,1461,53.0
1759261169,-61,0,1839,94.5
1759261172,-63,0,2316,159.0
1759261176,-63,0,2316,0.0
1759261179,-63,0,2316,0.0
1759261183,-64,0,2598,70.5
1759261186,-63,0,2316,-94.0
1759261190,-56,0,1034,-320.5
1759261193,-59,0,1461,142.3
1759261197,-59,0,1461,0.0
1759261201,-60,0,1639,44.5
1759261204,-60,0,1639,0.0
1759261208,-77,0,11605,2491.5
1759261211,-64,0,2598,-3002.3
1759261215,-65,0,2915,79.2
