utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651818944,-20,5,9,
1651818946,-20,5,9,0.0
1651818948,-20,5,9,0.0
1651818950,-20,5,9,0.0
1651818952,-20,5,9,0.0
1651818954,-23,14,13,2.0
1651818956,-22,6,12,-0.5
1651818958,-21,6,10,-1.0
1651818960,-23,6,13,1.5
1651818962,-27,6,21,4.0
1651818964,-25,6,16,-2.5
1651818966,-25,6,16,0.0
1651818968,-68,6,2311,1147.5
1651818970,-71,6,3264,476.5
1651818972,-58,14,731,-1266.5
1651818974,-56,0,580,-75.5
1651818976,-21,0,10,-285.0
1651818978,-26,0,18,4.0
1651818980,-26,11,18,0.0
1651818982,-23,11,13,-2.5
1651818984,-25,11,16,1.5
1651818986,-25,11,16,0.0
1651818988,-27,11,21,2.5
1651818990,-26,11,18,-1.5
1651818992,-26,11,18,0.0
1651818994,-24,11,15,-1.5
1651818996,-25,11,16,0.5
1651818998,-26,11,18,1.0
1651819000,-27,9,21,1.5
1651819002,-27,11,21,0.0
1651819004,-26,11,18,-1.5
1651819006,-27,11,21,1.5
1651819008,-26,11,18,-1.5
1651819010,-27,11,21,1.5
1651819012,-28,12,23,1.0
1651819014,-19,12,8,-7.5
1651819016,-19,12,8,0.0
1651819018,-19,12,8,0.0
1651819020,-29,12,26,9.0
1651819022,-27,12,21,-2.5
1651819024,-28,12,23,1.0
1651819026,-28,12,23,0.0
1651819028,-29,12,26,1.5
1651819030,-29,12,26,0.0
1651819032,-29,12,26,0.0
1651819034,-27,12,21,-2.5
1651819036,-27,12,21,0.0
1651819038,-27,12,21,0.0
1651819040,-27,12,21,0.0
1651819042,-28,15,23,1.0
1651819044,-26,12,18,-2.5
1651819046,-29,12,26,4.0
1651819048,-30,12,29,1.5
1651819050,-26,12,18,-5.5
1651819052,-29,12,26,4.0
1651819054,-21,12,10,-8.0
1651819056,-23,12,13,1.5
1651819058,-25,12,16,1.5
1651819060,-27,12,21,2.5
1651819062,-21,12,10,-5.5
1651819064,-29,12,26,8.0
1651819066,-29,12,26,0.0
1651819068,-29,12,26,0.0
1651819070,-25,12,16,-5.0
1651819072,-27,12,21,2.5
1651819074,-27,12,21,0.0
1651819076,-26,12,18,-1.5
1651819078,-26,12,18,0.0
1651819080,-27,12,21,1.5
1651819082,-26,12,18,-1.5
1651819084,-29,12,26,4.0
1651819086,-27,12,21,-2.5
1651819088,-29,12,26,2.5
1651819090,-27,12,21,-2.5
1651819092,-29,14,26,2.5
1651819094,-30,14,29,1.5
1651819096,-28,14,23,-3.0
1651819098,-24,14,15,-4.0
1651819100,-30,14,29,7.0
1651819102,-28,14,23,-3.0
1651819104,-26,14,18,-2.5
1651819106,-31,13,33,7.5
1651819108,-28,5,23,-5.0
1651819110,-31,15,33,5.0
1651819112,-27,7,21,-6.0
1651819114,-29,13,26,2.5
1651819116,-27,13,21,-2.5
1651819118,-30,13,29,4.0
1651819120,-23,13,13,-8.0
1651819122,-30,12,29,8.0
1651819124,-28,12,23,-3.0
1651819126,-28,12,23,0.0
1651819128,-28,12,23,0.0
1651819130,-29,12,26,1.5
1651819132,-31,12,33,3.5
1651819134,-26,12,18,-7.5
1651819136,-28,12,23,2.5
1651819138,-30,12,29,3.0
1651819140,-29,12,26,-1.5
1651819142,-28,7,23,-1.5
1651819144,-28,12,23,0.0
1651819146,-30,12,29,3.0
1651819148,-26,12,18,-5.5
1651819150,-29,7,26,4.0
1651819152,-29,7,26,0.0
1651819154,-28,7,23,-1.5
1651819156,-27,7,21,-1.0
1651819158,-30,7,29,4.0
1651819160,-29,7,26,-1.5
1651819162,-29,7,26,0.0
1651819164,-28,7,23,-1.5
1651819166,-29,7,26,1.5
1651819168,-27,5,21,-2.5
1651819170,-29,5,26,2.5
1651819172,-31,6,33,3.5
1651819174,-26,6,18,-7.5
1651819176,-27,6,21,1.5
1651819178,-28,5,23,1.0
1651819180,-28,6,23,0.0
1651819182,-32,6,37,7.0
1651819184,-29,6,26,-5.5
1651819186,-30,6,29,1.5
1651819188,-29,6,26,-1.5
1651819190,-27,6,21,-2.5
1651819192,-27,6,21,0.0
1651819194,-30,6,29,4.0
1651819196,-28,12,23,-3.0
1651819198,-27,12,21,-1.0
1651819200,-29,12,26,2.5
1651819202,-29,12,26,0.0
1651819204,-29,12,26,0.0
1651819206,-29,12,26,0.0
1651819208,-29,12,26,0.0
1651819210,-29,12,26,0.0
1651819212,-29,12,26,0.0
1651819214,-29,12,26,0.0
1651819216,-29,12,26,0.0
1651819218,-29,12,26,0.0
1651819220,-29,12,26,0.0
1651819222,-29,12,26,0.0
1651819224,-29,12,26,0.0
1651819226,-29,12,26,0.0
1651819228,-29,12,26,0.0
1651819230,-29,12,26,0.0
1651819232,-29,12,26,0.0
1651819234,-29,12,26,0.0
1651819236,-29,12,26,0.0
1651819238,-29,12,26,0.0
1651819240,-29,12,26,0.0
1651819242,-29,12,26,0.0
1651819244,-29,12,26,0.0
1651819246,-29,12,26,0.0
1651819248,-29,12,26,0.0
1651819250,-29,12,26,0.0
1651819252,-29,12,26,0.0
1651819254,-29,12,26,0.0
1651819256,-29,12,26,0.0
1651819258,-29,12,26,0.0
1651819260,-29,12,26,0.0
1651819262,-29,12,26,0.0
1651819264,-29,12,26,0.0
1651819266,-29,12,26,0.0
1651819268,-29,12,26,0.0
1651819270,-29,12,26,0.0
1651819272,-29,12,26,0.0
1651819274,-29,12,26,0.0
1651819276,-29,12,26,0.0
1651819278,-29,12,26,0.0
1651819280,-29,12,26,0.0
1651819282,-29,12,26,0.0
1651819284,-29,12,26,0.0
1651819286,-29,12,26,0.0
1651819288,-29,12,26,0.0
1651819290,-29,12,26,0.0
1651819292,-29,12,26,0.0
1651819294,-29,12,26,0.0
1651819296,-29,12,26,0.0
1651819298,-29,12,26,0.0
1651819300,-29,12,26,0.0
1651819302,-29,12,26,0.0
1651819304,-29,12,26,0.0
1651819306,-29,12,26,0.0
1651819308,-29,12,26,0.0
1651819310,-29,12,26,0.0
1651819312,-29,12,26,0.0
1651819314,-29,12,26,0.0
1651819316,-29,12,26,0.0
1651819318,-29,12,26,0.0
1651819320,-29,12,26,0.0
1651819323,-29,12,26,0.0
1651819325,-29,12,26,0.0
1651819327,-29,12,26,0.0
1651819329,-29,12,26,0.0
1651819331,-29,12,26,0.0
1651819333,-29,12,26,0.0
1651819335,-29,12,26,0.0
1651819337,-29,12,26,0.0
1651819339,-29,12,26,0.0
1651819341,-29,12,26,0.0
1651819343,-29,12,26,0.0
1651819345,-29,12,26,0.0
1651819347,-29,12,26,0.0
1651819349,-29,12,26,0.0
1651819351,-29,12,26,0.0
1651819353,-29,12,26,0.0
1651819355,-29,12,26,0.0
1651819357,-29,12,26,0.0
1651819359,-29,12,26,0.0
1651819361,-29,12,26,0.0
1651819363,-29,12,26,0.0
1651819365,-29,12,26,0.0
1651819367,-29,12,26,0.0
1651819369,-29,12,26,0.0
1651819371,-29,12,26,0.0
1651819373,-29,12,26,0.0
1651819375,-29,12,26,0.0
1651819377,-29,12,26,0.0
1651819379,-29,12,26,0.0
1651819381,-29,12,26,0.0
1651819383,-29,12,26,0.0
1651819385,-29,12,26,0.0
1651819387,-29,12,26,0.0
1651819389,-29,12,26,0.0
1651819391,-29,12,26,0.0
1651819393,-29,12,26,0.0
1651819395,-29,12,26,0.0
1651819397,-29,12,26,0.0
1651819399,-29,12,26,0.0
1651819401,-29,12,26,0.0
1651819403,-20,5,9,-8.5
1651819405,-20,5,9,0.0
1651819407,-20,5,9,0.0
1651819409,-20,15,9,0.0
1651819411,-20,5,9,0.0
1651819413,-20,5,9,0.0
1651819415,-28,0,23,7.0
1651819417,-27,0,21,-1.0
1651819419,-26,0,18,-1.5
1651819421,-27,0,21,1.5
1651819423,-28,7,23,1.0
1651819425,-28,11,23,0.0
1651819427,-27,11,21,-1.0
1651819429,-27,11,21,0.0
1651819431,-28,11,23,1.0
1651819433,-25,12,16,-3.5
1651819435,-27,4,21,2.5
1651819437,-28,12,23,1.0
1651819439,-26,10,18,-2.5
1651819441,-27,12,21,1.5
1651819443,-26,11,18,-1.5
1651819445,-28,11,23,2.5
1651819447,-27,13,21,-1.0
1651819449,-26,11,18,-1.5
1651819451,-28,7,23,2.5
1651819453,-27,7,21,-1.0
1651819455,-31,7,33,6.0
1651819457,-28,7,23,-5.0
1651819459,-24,7,15,-4.0
1651819461,-27,11,21,3.0
1651819463,-27,11,21,0.0
1651819465,-28,12,23,1.0
1651819467,-27,12,21,-1.0
1651819469,-27,12,21,0.0
1651819471,-27,12,21,0.0
1651819473,-29,6,26,2.5
1651819475,-27,5,21,-2.5
1651819477,-27,6,21,0.0
1651819479,-27,4,21,0.0
1651819481,-28,4,23,1.0
1651819483,-29,4,26,1.5
1651819485,-27,7,21,-2.5
1651819487,-28,7,23,1.0
1651819489,-27,4,21,-1.0
1651819491,-26,6,18,-1.5
1651819493,-28,4,23,2.5
1651819495,-26,4,18,-2.5
1651819497,-28,7,23,2.5
1651819499,-28,12,23,0.0
1651819501,-30,12,29,3.0
1651819503,-26,12,18,-5.5
1651819505,-28,12,23,2.5
1651819507,-26,12,18,-2.5
1651819509,-28,12,23,2.5
1651819511,-24,12,15,-4.0
1651819513,-27,12,21,3.0
1651819515,-26,11,18,-1.5
1651819517,-29,11,26,4.0
1651819519,-27,12,21,-2.5
1651819521,-28,10,23,1.0
1651819523,-26,10,18,-2.5
1651819525,-26,10,18,0.0
1651819527,-28,10,23,2.5
1651819529,-26,10,18,-2.5
1651819531,-27,12,21,1.5
1651819533,-27,10,21,0.0
1651819535,-27,12,21,0.0
1651819537,-28,12,23,1.0
1651819539,-26,12,18,-2.5
1651819541,-25,12,16,-1.0
1651819543,-28,10,23,3.5
1651819545,-27,4,21,-1.0
1651819547,-26,4,18,-1.5
1651819549,-27,10,21,1.5
1651819551,-28,10,23,1.0
1651819553,-28,13,23,0.0
1651819555,-27,11,21,-1.0
1651819557,-22,6,12,-4.5
1651819559,-28,6,23,5.5
1651819561,-27,6,21,-1.0
1651819563,-28,6,23,1.0
1651819565,-27,4,21,-1.0
1651819567,-28,3,23,1.0
1651819569,-26,4,18,-2.5
1651819571,-28,3,23,2.5
1651819573,-28,3,23,0.0
1651819575,-27,3,21,-1.0
1651819577,-27,3,21,0.0
1651819579,-26,2,18,-1.5
1651819581,-28,7,23,2.5
1651819583,-27,7,21,-1.0
1651819585,-25,7,16,-2.5
1651819587,-26,7,18,1.0
1651819589,-26,7,18,0.0
1651819591,-28,7,23,2.5
1651819593,-27,7,21,-1.0
1651819595,-28,7,23,1.0
1651819597,-25,7,16,-3.5
1651819599,-26,7,18,1.0
1651819601,-26,7,18,0.0
1651819603,-26,7,18,0.0
1651819605,-26,7,18,0.0
1651819607,-26,7,18,0.0
1651819609,-26,7,18,0.0
1651819611,-26,7,18,0.0
1651819613,-26,7,18,0.0
1651819615,-26,7,18,0.0
1651819617,-26,7,18,0.0
1651819619,-26,7,18,0.0
1651819621,-26,7,18,0.0
1651819623,-26,7,18,0.0
1651819625,-26,7,18,0.0
1651819627,-26,7,18,0.0
1651819629,-26,7,18,0.0
1651819631,-26,7,18,0.0
