utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651833318,-21,0,10,
1651833320,-22,0,12,1.0
1651833322,-23,0,13,0.5
1651833324,-23,0,13,0.0
1651833326,-22,0,12,-0.5
1651833328,-22,0,12,0.0
1651833330,-22,0,12,0.0
1651833332,-22,0,12,0.0
1651833334,-22,0,12,0.0
1651833336,-22,0,12,0.0
1651833338,-22,0,12,0.0
1651833340,-20,0,9,-1.5
1651833342,-20,0,9,0.0
1651833344,-21,0,10,0.5
1651833346,-21,0,10,0.0
1651833348,-22,0,12,1.0
1651833350,-23,0,13,0.5
1651833352,-25,1,16,1.5
1651833354,-27,13,21,2.5
1651833356,-26,13,18,-1.5
1651833358,-28,13,23,2.5
1651833360,-27,13,21,-1.0
1651833362,-26,11,18,-1.5
1651833364,-26,13,18,0.0
1651833366,-26,3,18,0.0
1651833368,-27,13,21,1.5
1651833370,-27,13,21,0.0
1651833372,-28,13,23,1.0
1651833374,-27,13,21,-1.0
1651833376,-27,13,21,0.0
1651833378,-27,12,21,0.0
1651833380,-27,15,21,0.0
1651833382,-26,13,18,-1.5
1651833384,-27,13,21,1.5
1651833386,-27,15,21,0.0
1651833388,-27,14,21,0.0
1651833390,-27,14,21,0.0
1651833392,-27,15,21,0.0
1651833394,-28,15,23,1.0
1651833396,-26,15,18,-2.5
1651833398,-27,15,21,1.5
1651833400,-25,15,16,-2.5
1651833402,-24,14,15,-0.5
1651833404,-23,12,13,-1.0
1651833406,-26,12,18,2.5
1651833408,-27,12,21,1.5
1651833410,-28,12,23,1.0
1651833412,-27,12,21,-1.0
1651833414,-27,12,21,0.0
1651833416,-25,12,16,-2.5
1651833418,-25,12,16,0.0
1651833420,-27,12,21,2.5
1651833422,-24,12,15,-3.0
1651833424,-25,12,16,0.5
1651833426,-25,12,16,0.0
1651833473,-27,2,21,0.1
1651833475,-26,2,18,-1.5
1651833477,-26,2,18,0.0
1651833479,-80,2,9198,4590.0
1651833481,-27,6,21,-4588.5
1651833483,-27,6,21,0.0
1651833485,-27,6,21,0.0
1651833487,-25,11,16,-2.5
1651833489,-30,11,29,6.5
1651833491,-30,2,29,0.0
1651833493,-30,2,29,0.0
1651833495,-30,0,29,0.0
1651833497,-30,9,29,0.0
1651833499,-30,0,29,0.0
1651833501,-30,0,29,0.0
1651833503,-30,0,29,0.0
1651833505,-30,0,29,0.0
1651833507,-30,0,29,0.0
1651833509,-30,0,29,0.0
1651833511,-30,0,29,0.0
1651833513,-30,0,29,0.0
1651833515,-30,1,29,0.0
1651833517,-30,0,29,0.0
1651833519,-30,0,29,0.0
1651833521,-30,0,29,0.0
1651833523,-30,0,29,0.0
1651833525,-30,0,29,0.0
1651833527,-30,0,29,0.0
1651833529,-30,0,29,0.0
1651833531,-30,0,29,0.0
1651833533,-30,0,29,0.0
1651833535,-30,0,29,0.0
1651833537,-30,0,29,0.0
1651833539,-30,0,29,0.0
1651833541,-30,0,29,0.0
1651833543,-30,0,29,0.0
1651833545,-30,0,29,0.0
1651833547,-30,0,29,0.0
1651833549,-30,0,29,0.0
1651833551,-30,0,29,0.0
1651833553,-30,0,29,0.0
1651833555,-30,0,29,0.0
1651833557,-30,0,29,0.0
1651833559,-30,0,29,0.0
1651833561,-30,0,29,0.0
1651833563,-30,0,29,0.0
1651833565,-30,0,29,0.0
1651833567,-30,0,29,0.0
1651833569,-30,0,29,0.0
1651833571,-30,0,29,0.0
1651833573,-30,0,29,0.0
1651833575,-30,0,29,0.0
1651833577,-30,0,29,0.0
1651833579,-30,0,29,0.0
1651833581,-30,0,29,0.0
