utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651803404,-19,0,8,
1651803406,-21,6,10,1.0
1651803408,-21,6,10,0.0
1651803410,-19,7,8,-1.0
1651803412,-19,0,8,0.0
1651803414,-19,0,8,0.0
1651803416,-24,0,15,3.5
1651803418,-24,0,15,0.0
1651803420,-25,4,16,0.5
1651803422,-29,13,26,5.0
1651803424,-27,13,21,-2.5
1651803426,-29,5,26,2.5
1651803428,-29,5,26,0.0
1651803430,-28,5,23,-1.5
1651803432,-29,5,26,1.5
1651803434,-20,14,9,-8.5
1651803436,-29,14,26,8.5
1651803438,-28,14,23,-1.5
1651803440,-23,14,13,-5.0
1651803442,-28,10,23,5.0
1651803444,-29,14,26,1.5
1651803446,-29,14,26,0.0
1651803448,-28,15,23,-1.5
1651803450,-29,15,26,1.5
1651803452,-29,15,26,0.0
1651803454,-26,15,18,-4.0
1651803456,-26,14,18,0.0
1651803458,-27,12,21,1.5
1651803460,-27,4,21,0.0
1651803462,-28,6,23,1.0
1651803464,-27,6,21,-1.0
1651803466,-30,6,29,4.0
1651803468,-27,6,21,-4.0
1651803470,-27,12,21,0.0
1651803472,-28,12,23,1.0
1651803474,-30,12,29,3.0
1651803476,-29,12,26,-1.5
1651803478,-30,7,29,1.5
1651803480,-28,7,23,-3.0
1651803482,-29,12,26,1.5
1651803484,-28,7,23,-1.5
1651803486,-28,7,23,0.0
1651803488,-29,7,26,1.5
1651803490,-28,11,23,-1.5
1651803492,-27,7,21,-1.0
1651803494,-29,12,26,2.5
1651803496,-29,12,26,0.0
1651803498,-29,14,26,0.0
1651803500,-28,12,23,-1.5
1651803502,-30,13,29,3.0
1651803504,-30,13,29,0.0
1651803506,-29,13,26,-1.5
1651803508,-27,13,21,-2.5
1651803510,-26,13,18,-1.5
1651803512,-27,14,21,1.5
1651803514,-23,14,13,-4.0
1651803516,-31,5,33,10.0
1651803518,-29,6,26,-3.5
1651803520,-29,12,26,0.0
1651803522,-32,6,37,5.5
1651803524,-29,6,26,-5.5
1651803526,-29,6,26,0.0
1651803528,-26,7,18,-4.0
1651803530,-30,7,29,5.5
1651803532,-31,13,33,2.0
1651803534,-28,11,23,-5.0
1651803536,-29,11,26,1.5
1651803538,-28,7,23,-1.5
1651803540,-33,7,41,9.0
1651803542,-28,11,23,-9.0
1651803544,-28,11,23,0.0
1651803546,-29,11,26,1.5
1651803548,-29,7,26,0.0
1651803550,-27,7,21,-2.5
1651803552,-27,7,21,0.0
1651803554,-30,14,29,4.0
1651803556,-30,14,29,0.0
1651803558,-21,14,10,-9.5
1651803560,-33,6,41,15.5
1651803562,-28,6,23,-9.0
1651803564,-27,3,21,-1.0
1651803566,-30,5,29,4.0
1651803568,-24,5,15,-7.0
1651803570,-33,5,41,13.0
1651803572,-29,5,26,-7.5
1651803574,-27,5,21,-2.5
1651803576,-28,5,23,1.0
1651803578,-20,14,9,-7.0
1651803580,-30,5,29,10.0
1651803582,-29,5,26,-1.5
1651803584,-28,5,23,-1.5
1651803586,-28,11,23,0.0
1651803588,-30,11,29,3.0
1651803590,-21,5,10,-9.5
1651803592,-31,11,33,11.5
1651803594,-29,11,26,-3.5
1651803596,-28,10,23,-1.5
1651803598,-23,12,13,-5.0
1651803600,-27,12,21,4.0
1651803602,-29,12,26,2.5
1651803604,-27,12,21,-2.5
1651803606,-31,6,33,6.0
1651803608,-30,13,29,-2.0
1651803610,-31,13,33,2.0
1651803612,-28,14,23,-5.0
1651803614,-29,10,26,1.5
1651803616,-25,14,16,-5.0
1651803618,-30,14,29,6.5
1651803620,-30,7,29,0.0
1651803622,-27,6,21,-4.0
1651803624,-28,6,23,1.0
1651803626,-27,11,21,-1.0
1651803628,-27,11,21,0.0
1651803630,-28,7,23,1.0
1651803632,-27,7,21,-1.0
1651803634,-29,7,26,2.5
1651803636,-27,7,21,-2.5
1651803638,-28,7,23,1.0
1651803640,-28,7,23,0.0
1651803642,-29,7,26,1.5
1651803644,-28,13,23,-1.5
1651803646,-31,13,33,5.0
1651803648,-28,13,23,-5.0
1651803650,-29,13,26,1.5
1651803652,-28,13,23,-1.5
1651803654,-28,13,23,0.0
1651803656,-28,13,23,0.0
1651803658,-29,13,26,1.5
1651803660,-28,7,23,-1.5
1651803662,-28,12,23,0.0
1651803664,-29,7,26,1.5
1651803666,-31,5,33,3.5
1651803668,-33,5,41,4.0
1651803670,-30,6,29,-6.0
1651803672,-29,6,26,-1.5
1651803674,-30,7,29,1.5
1651803676,-28,7,23,-3.0
1651803678,-26,13,18,-2.5
1651803680,-28,13,23,2.5
1651803682,-29,15,26,1.5
1651803684,-29,13,26,0.0
1651803686,-29,13,26,0.0
1651803688,-29,13,26,0.0
1651803690,-28,14,23,-1.5
1651803692,-28,12,23,0.0
1651803694,-28,13,23,0.0
1651803696,-28,15,23,0.0
1651803751,-23,0,13,-0.2
1651803753,-23,7,13,0.0
1651803755,-24,7,15,1.0
1651803757,-22,9,12,-1.5
1651803759,-21,9,10,-1.0
1651803761,-21,9,10,0.0
1651803763,-23,9,13,1.5
1651803765,-20,9,9,-2.0
1651803767,-29,9,26,8.5
1651803769,-31,4,33,3.5
1651803771,-28,4,23,-5.0
1651803773,-29,4,26,1.5
1651803775,-28,4,23,-1.5
1651803777,-27,9,21,-1.0
1651803779,-20,14,9,-6.0
1651803781,-19,14,8,-0.5
1651803783,-23,11,13,2.5
1651803785,-28,5,23,5.0
1651803787,-30,15,29,3.0
1651803789,-31,7,33,2.0
1651803791,-29,15,26,-3.5
1651803793,-30,9,29,1.5
1651803795,-28,14,23,-3.0
1651803797,-30,15,29,3.0
1651803799,-28,15,23,-3.0
1651803801,-28,5,23,0.0
1651803803,-29,12,26,1.5
1651803805,-28,12,23,-1.5
1651803807,-28,12,23,0.0
1651803809,-30,12,29,3.0
1651803811,-29,14,26,-1.5
1651803813,-29,12,26,0.0
1651803815,-27,14,21,-2.5
1651803817,-28,14,23,1.0
1651803819,-30,14,29,3.0
1651803821,-30,14,29,0.0
1651803823,-28,15,23,-3.0
1651803825,-23,13,13,-5.0
1651803827,-29,15,26,6.5
1651803829,-29,13,26,0.0
1651803831,-28,13,23,-1.5
1651803833,-27,10,21,-1.0
1651803835,-27,12,21,0.0
1651803837,-29,12,26,2.5
1651803839,-28,12,23,-1.5
1651803841,-29,6,26,1.5
1651803843,-28,7,23,-1.5
1651803845,-30,12,29,3.0
1651803847,-29,13,26,-1.5
1651803849,-28,5,23,-1.5
1651803851,-29,13,26,1.5
1651803853,-28,12,23,-1.5
1651803855,-28,12,23,0.0
1651803857,-28,13,23,0.0
1651803859,-29,13,26,1.5
1651803861,-27,13,21,-2.5
1651803863,-31,13,33,6.0
1651803865,-30,11,29,-2.0
1651803867,-28,13,23,-3.0
1651803869,-28,13,23,0.0
1651803871,-27,13,21,-1.0
1651803873,-29,13,26,2.5
1651803875,-27,13,21,-2.5
1651803877,-29,13,26,2.5
1651803879,-30,7,29,1.5
1651803881,-28,14,23,-3.0
1651803883,-29,14,26,1.5
1651803885,-32,6,37,5.5
1651803887,-29,11,26,-5.5
1651803889,-29,12,26,0.0
1651803891,-29,14,26,0.0
1651803893,-28,14,23,-1.5
1651803895,-30,14,29,3.0
1651803897,-29,14,26,-1.5
1651803899,-31,13,33,3.5
1651803901,-29,13,26,-3.5
1651803903,-19,14,8,-9.0
1651803905,-23,14,13,2.5
1651803907,-32,13,37,12.0
1651803909,-23,13,13,-12.0
1651803911,-35,13,52,19.5
1651803913,-30,7,29,-11.5
1651803915,-29,13,26,-1.5
1651803917,-26,13,18,-4.0
1651803919,-20,13,9,-4.5
1651803921,-23,14,13,2.0
1651803923,-22,14,12,-0.5
1651803925,-22,13,12,0.0
1651803927,-24,13,15,1.5
1651803929,-27,13,21,3.0
1651803931,-29,13,26,2.5
1651803933,-29,13,26,0.0
1651803935,-28,14,23,-1.5
1651803937,-30,14,29,3.0
1651803939,-27,13,21,-4.0
1651803941,-27,13,21,0.0
1651803943,-28,13,23,1.0
1651803945,-22,12,12,-5.5
1651803947,-30,12,29,8.5
1651803949,-28,7,23,-3.0
1651803951,-30,15,29,3.0
1651803953,-27,14,21,-4.0
1651803955,-28,11,23,1.0
1651803957,-26,15,18,-2.5
1651803959,-27,6,21,1.5
1651803961,-28,6,23,1.0
1651803963,-28,7,23,0.0
1651803965,-29,10,26,1.5
1651803967,-29,11,26,0.0
1651803969,-27,6,21,-2.5
1651803971,-21,6,10,-5.5
1651803973,-26,6,18,4.0
1651803975,-32,6,37,9.5
1651803977,-27,7,21,-8.0
1651803979,-26,7,18,-1.5
1651803981,-27,7,21,1.5
1651803983,-27,13,21,0.0
1651803985,-31,13,33,6.0
1651803987,-31,11,33,0.0
1651803989,-29,11,26,-3.5
1651803991,-29,12,26,0.0
1651803993,-28,12,23,-1.5
1651803995,-28,14,23,0.0
1651803997,-28,14,23,0.0
1651803999,-28,14,23,0.0
1651804001,-30,12,29,3.0
1651804003,-29,6,26,-1.5
1651804005,-31,15,33,3.5
1651804007,-28,6,23,-5.0
1651804009,-28,6,23,0.0
1651804011,-28,6,23,0.0
1651804013,-22,7,12,-5.5
1651804015,-30,7,29,8.5
1651804017,-28,12,23,-3.0
1651804019,-31,13,33,5.0
1651804021,-23,13,13,-10.0
1651804023,-27,13,21,4.0
1651804025,-31,14,33,6.0
1651804027,-29,14,26,-3.5
1651804029,-29,14,26,0.0
1651804031,-20,14,9,-8.5
1651804033,-19,14,8,-0.5
1651804035,-30,14,29,10.5
1651804037,-31,5,33,2.0
1651804039,-31,7,33,0.0
1651804041,-29,7,26,-3.5
1651804043,-26,7,18,-4.0
1651804045,-29,11,26,4.0
1651804047,-29,7,26,0.0
1651804049,-28,15,23,-1.5
1651804051,-29,13,26,1.5
1651804053,-29,13,26,0.0
1651804055,-28,6,23,-1.5
1651804058,-30,12,29,2.0
1651804060,-31,12,33,2.0
1651804062,-30,4,29,-2.0
1651804064,-27,6,21,-4.0
1651804066,-28,6,23,1.0
1651804068,-27,6,21,-1.0
1651804070,-26,7,18,-1.5
1651804072,-30,7,29,5.5
1651804074,-28,5,23,-3.0
1651804076,-29,5,26,1.5
1651804078,-29,12,26,0.0
1651804080,-29,12,26,0.0
1651804082,-28,12,23,-1.5
1651804084,-27,12,21,-1.0
1651804086,-28,12,23,1.0
1651804088,-29,12,26,1.5
1651804090,-27,12,21,-2.5
1651804092,-32,12,37,8.0
1651804094,-29,12,26,-5.5
1651804096,-28,7,23,-1.5
1651804098,-29,7,26,1.5
1651804100,-30,7,29,1.5
1651804102,-27,7,21,-4.0
1651804104,-30,11,29,4.0
1651804106,-27,11,21,-4.0
1651804108,-29,12,26,2.5
1651804110,-30,12,29,1.5
1651804112,-29,14,26,-1.5
1651804114,-28,14,23,-1.5
1651804116,-29,14,26,1.5
1651804118,-28,14,23,-1.5
1651804120,-29,15,26,1.5
1651804122,-28,10,23,-1.5
1651804124,-30,11,29,3.0
1651804126,-21,5,10,-9.5
1651804128,-28,4,23,6.5
1651804130,-29,11,26,1.5
1651804132,-28,5,23,-1.5
1651804134,-28,5,23,0.0
1651804136,-28,5,23,0.0
1651804138,-23,15,13,-5.0
1651804140,-28,11,23,5.0
1651804142,-26,15,18,-2.5
1651804144,-29,15,26,4.0
1651804146,-27,15,21,-2.5
1651804148,-29,15,26,2.5
1651804150,-25,12,16,-5.0
1651804152,-26,12,18,1.0
1651804154,-25,12,16,-1.0
1651804156,-25,12,16,0.0
1651804158,-33,13,41,12.5
1651804160,-32,14,37,-2.0
1651804162,-30,14,29,-4.0
1651804164,-31,14,33,2.0
1651804166,-29,14,26,-3.5
1651804168,-29,14,26,0.0
1651804170,-28,13,23,-1.5
1651804172,-28,13,23,0.0
1651804174,-29,13,26,1.5
1651804176,-29,14,26,0.0
1651804178,-29,14,26,0.0
1651804180,-28,11,23,-1.5
1651804182,-28,12,23,0.0
1651804184,-28,12,23,0.0
1651804186,-30,12,29,3.0
1651804188,-30,12,29,0.0
1651804190,-28,12,23,-3.0
1651804192,-19,12,8,-7.5
1651804194,-22,5,12,2.0
1651804196,-31,7,33,10.5
1651804198,-25,6,16,-8.5
1651804200,-27,12,21,2.5
1651804202,-31,12,33,6.0
1651804204,-30,12,29,-2.0
1651804206,-27,14,21,-4.0
1651804208,-28,14,23,1.0
1651804210,-29,13,26,1.5
1651804212,-31,13,33,3.5
1651804214,-32,13,37,2.0
1651804216,-29,14,26,-5.5
1651804218,-28,14,23,-1.5
1651804220,-31,13,33,5.0
1651804222,-18,13,7,-13.0
1651804224,-31,13,33,13.0
1651804226,-23,6,13,-10.0
1651804228,-29,14,26,6.5
1651804230,-24,13,15,-5.5
1651804232,-31,13,33,9.0
1651804234,-28,13,23,-5.0
1651804236,-27,14,21,-1.0
1651804238,-25,15,16,-2.5
1651804240,-25,13,16,0.0
1651804242,-31,15,33,8.5
1651804244,-32,15,37,2.0
1651804246,-25,14,16,-10.5
1651804248,-27,14,21,2.5
1651804250,-25,14,16,-2.5
1651804252,-28,7,23,3.5
1651804254,-29,13,26,1.5
1651804256,-29,13,26,0.0
