utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651776546,-25,0,16,
1651776548,-26,0,18,1.0
1651776550,-26,0,18,0.0
1651776552,-26,0,18,0.0
1651776554,-27,0,21,1.5
1651776556,-24,0,15,-3.0
1651776558,-26,0,18,1.5
1651776560,-27,0,21,1.5
1651776562,-26,0,18,-1.5
1651776564,-27,0,21,1.5
1651776566,-26,0,18,-1.5
1651776568,-25,0,16,-1.0
1651776570,-26,0,18,1.0
1651776572,-26,0,18,0.0
1651776574,-27,0,21,1.5
1651776576,-27,0,21,0.0
1651776578,-25,0,16,-2.5
1651776580,-25,0,16,0.0
1651776582,-26,0,18,1.0
1651776584,-26,0,18,0.0
1651776586,-26,0,18,0.0
1651776588,-27,0,21,1.5
1651776590,-26,0,18,-1.5
1651776592,-23,0,13,-2.5
1651776594,-27,2,21,4.0
1651776596,-24,2,15,-3.0
1651776598,-24,2,15,0.0
1651776600,-24,2,15,0.0
1651776602,-26,2,18,1.5
1651776604,-25,2,16,-1.0
1651776606,-25,2,16,0.0
1651776608,-25,2,16,0.0
1651776610,-26,2,18,1.0
1651776612,-26,2,18,0.0
1651776614,-26,2,18,0.0
1651776616,-27,2,21,1.5
1651776618,-25,2,16,-2.5
1651776620,-27,2,21,2.5
1651776622,-26,2,18,-1.5
1651776624,-26,2,18,0.0
1651776626,-26,2,18,0.0
1651776628,-26,2,18,0.0
1651776630,-26,2,18,0.0
1651776632,-27,2,21,1.5
1651776634,-27,2,21,0.0
1651776636,-28,2,23,1.0
1651776638,-27,2,21,-1.0
1651776640,-27,2,21,0.0
1651776642,-26,2,18,-1.5
1651776644,-27,2,21,1.5
1651776646,-27,2,21,0.0
1651776648,-26,2,18,-1.5
1651776650,-27,2,21,1.5
1651776652,-26,2,18,-1.5
1651776654,-26,4,18,0.0
1651776656,-29,2,26,4.0
1651776658,-28,2,23,-1.5
1651776660,-27,2,21,-1.0
1651776662,-27,2,21,0.0
1651776664,-26,2,18,-1.5
1651776666,-26,2,18,0.0
1651776668,-26,4,18,0.0
1651776670,-26,4,18,0.0
1651776672,-30,4,29,5.5
1651776674,-26,4,18,-5.5
1651776676,-25,2,16,-1.0
1651776678,-27,2,21,2.5
1651776680,-26,2,18,-1.5
1651776682,-32,2,37,9.5
1651776684,-25,4,16,-10.5
1651776686,-26,2,18,1.0
1651776688,-26,4,18,0.0
1651776690,-27,4,21,1.5
1651776692,-27,4,21,0.0
1651776694,-26,4,18,-1.5
1651776696,-27,4,21,1.5
1651776698,-27,4,21,0.0
1651776700,-27,2,21,0.0
1651776702,-26,2,18,-1.5
1651776704,-27,2,21,1.5
1651776706,-26,4,18,-1.5
1651776708,-27,4,21,1.5
