utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651760434,-25,6,16,
1651760436,-25,2,16,0.0
1651760438,-27,2,21,2.5
1651760440,-27,2,21,0.0
1651760442,-27,2,21,0.0
1651760444,-27,0,21,0.0
1651760446,-61,0,1032,505.5
1651760448,-60,2,920,-56.0
1651760450,-65,0,1636,358.0
1651760452,-20,0,9,-813.5
1651760454,-28,2,23,7.0
1651760456,-27,2,21,-1.0
1651760458,-26,2,18,-1.5
1651760460,-27,2,21,1.5
1651760462,-26,2,18,-1.5
1651760464,-28,2,23,2.5
1651760466,-31,2,33,5.0
1651760468,-26,2,18,-7.5
1651760470,-26,2,18,0.0
1651760472,-27,2,21,1.5
1651760474,-29,2,26,2.5
1651760476,-28,6,23,-1.5
1651760478,-26,6,18,-2.5
1651760480,-29,6,26,4.0
1651760482,-29,6,26,0.0
1651760484,-27,6,21,-2.5
1651760486,-27,6,21,0.0
1651760488,-25,6,16,-2.5
1651760490,-25,6,16,0.0
1651760492,-27,6,21,2.5
1651760494,-28,6,23,1.0
1651760496,-28,6,23,0.0
1651760498,-28,6,23,0.0
1651760500,-27,6,21,-1.0
1651760502,-28,6,23,1.0
1651760504,-27,6,21,-1.0
1651760506,-28,6,23,1.0
1651760508,-27,4,21,-1.0
1651760510,-26,4,18,-1.5
1651760513,-28,6,23,1.7
1651760515,-30,6,29,3.0
1651760517,-28,6,23,-3.0
1651760519,-29,6,26,1.5
1651760521,-25,6,16,-5.0
1651760523,-28,6,23,3.5
1651760525,-28,6,23,0.0
1651760527,-27,4,21,-1.0
1651760529,-30,4,29,4.0
1651760531,-28,4,23,-3.0
1651760533,-26,4,18,-2.5
1651760535,-26,4,18,0.0
1651760537,-26,4,18,0.0
1651760539,-29,4,26,4.0
1651760541,-27,4,21,-2.5
1651760543,-28,4,23,1.0
1651760545,-29,4,26,1.5
1651760547,-27,6,21,-2.5
1651760549,-31,6,33,6.0
1651760551,-27,6,21,-6.0
1651760553,-30,6,29,4.0
1651760555,-27,6,21,-4.0
1651760557,-29,6,26,2.5
1651760559,-26,6,18,-4.0
1651760561,-30,6,29,5.5
1651760563,-30,6,29,0.0
1651760565,-27,6,21,-4.0
1651760567,-26,6,18,-1.5
1651760569,-29,6,26,4.0
1651760571,-26,6,18,-4.0
1651760573,-26,6,18,0.0
1651760575,-28,6,23,2.5
1651760577,-26,6,18,-2.5
1651760579,-26,6,18,0.0
1651760581,-27,6,21,1.5
1651760583,-27,6,21,0.0
1651760585,-29,6,26,2.5
1651760587,-28,6,23,-1.5
1651760589,-27,6,21,-1.0
1651760591,-29,6,26,2.5
1651760593,-27,6,21,-2.5
1651760595,-33,6,41,10.0
1651760597,-25,6,16,-12.5
1651760599,-29,6,26,5.0
1651760601,-29,6,26,0.0
1651760603,-29,6,26,0.0
1651760605,-28,6,23,-1.5
1651760607,-27,4,21,-1.0
1651760609,-30,6,29,4.0
1651760611,-33,4,41,6.0
1651760613,-30,6,29,-6.0
1651760615,-28,6,23,-3.0
1651760617,-28,6,23,0.0
1651760619,-30,6,29,3.0
1651760621,-29,4,26,-1.5
1651760623,-31,6,33,3.5
1651760625,-27,6,21,-6.0
1651760627,-29,6,26,2.5
1651760629,-27,6,21,-2.5
1651760631,-29,6,26,2.5
1651760633,-27,6,21,-2.5
1651760635,-28,6,23,1.0
1651760637,-28,6,23,0.0
1651760639,-26,6,18,-2.5
1651760641,-29,4,26,4.0
1651760643,-28,6,23,-1.5
1651760645,-28,6,23,0.0
1651760647,-26,6,18,-2.5
1651760649,-30,6,29,5.5
1651760651,-25,6,16,-6.5
1651760653,-29,6,26,5.0
1651760655,-28,6,23,-1.5
