utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651759091,-29,14,20,
1651759094,-26,14,14,-2.0
1651759098,-32,14,28,3.5
1651759101,-29,14,20,-2.7
1651759105,-27,15,16,-1.0
1651759108,-30,15,23,2.3
1651759112,-30,15,23,0.0
1651759115,-30,15,23,0.0
1651759119,-30,15,23,0.0
1651759122,-30,15,23,0.0
1651759126,-29,15,20,-0.8
1651759129,-35,15,40,6.7
1651759133,-29,15,20,-5.0
1651759136,-30,15,23,1.0
1651759140,-30,15,23,0.0
1651759143,-28,15,18,-1.7
1651759147,-31,15,25,1.8
1651759150,-30,15,23,-0.7
1651759154,-31,15,25,0.5
1651759157,-31,15,25,0.0
1651759161,-28,15,18,-1.8
1651759164,-30,15,23,1.7
1651759168,-29,15,20,-0.8
1651759171,-29,15,20,0.0
1651759175,-29,15,20,0.0
1651759178,-29,15,20,0.0
1651759182,-27,15,16,-1.0
1651759185,-31,15,25,3.0
1651759189,-31,15,25,0.0
1651759192,-30,15,23,-0.7
1651759196,-30,15,23,0.0
1651759199,-33,15,32,3.0
1651759203,-30,15,23,-2.2
1651759206,-29,13,20,-1.0
1651759210,-29,15,20,0.0
1651759213,-29,14,20,0.0
1651759217,-28,14,18,-0.5
1651759220,-29,14,20,0.7
1651759224,-29,15,20,0.0
1651759227,-30,14,23,1.0
1651759231,-29,14,20,-0.8
1651759234,-29,14,20,0.0
1651759238,-29,15,20,0.0
1651759241,-28,15,18,-0.7
1651759245,-28,15,18,0.0
1651759248,-28,15,18,0.0
1651759252,-29,15,20,0.5
1651759255,-29,15,20,0.0
1651759259,-29,15,20,0.0
1651759262,-35,15,40,6.7
1651759266,-29,15,20,-5.0
1651759269,-29,15,20,0.0
1651759273,-30,15,23,0.8
1651759276,-29,15,20,-1.0
1651759280,-29,15,20,0.0
1651759283,-30,15,23,1.0
1651759287,-28,15,18,-1.2
1651759290,-30,13,23,1.7
1651759294,-29,13,20,-0.8
1651759297,-28,13,18,-0.7
1651759301,-30,15,23,1.2
1651759304,-29,15,20,-1.0
1651759308,-29,13,20,0.0
1651759311,-29,13,20,0.0
1651759315,-33,13,32,3.0
1651759318,-28,13,18,-4.7
1651759322,-28,13,18,0.0
1651759325,-29,15,20,0.7
1651759329,-29,13,20,0.0
1651759332,-28,13,18,-0.7
1651759336,-29,13,20,0.5
1651759339,-28,13,18,-0.7
1651759343,-29,14,20,0.5
1651759346,-29,13,20,0.0
1651759350,-28,13,18,-0.5
1651759353,-31,14,25,2.3
1651759357,-28,15,18,-1.8
1651759360,-29,15,20,0.7
1651759364,-28,15,18,-0.5
1651759367,-30,15,23,1.7
1651759371,-29,15,20,-0.8
1651759374,-31,15,25,1.7
1651759378,-30,15,23,-0.5
1651759381,-28,15,18,-1.7
1651759385,-30,15,23,1.2
1651759388,-29,14,20,-1.0
1651759392,-30,14,23,0.8
1651759395,-28,14,18,-1.7
1651759399,-29,15,20,0.5
1651759402,-29,15,20,0.0
1651759406,-29,15,20,0.0
1651759409,-28,15,18,-0.7
1651759413,-29,14,20,0.5
1651759416,-27,14,16,-1.3
1651759420,-28,14,18,0.5
1651759423,-30,14,23,1.7
1651759427,-28,14,18,-1.2
1651759430,-27,15,16,-0.7
1651759434,-29,15,20,1.0
1651759437,-28,15,18,-0.7
1651759441,-31,15,25,1.8
1651759444,-28,15,18,-2.3
1651759448,-28,13,18,0.0
1651759451,-29,14,20,0.7
1651759455,-34,14,36,4.0
1651759458,-29,14,20,-5.3
1651759462,-29,15,20,0.0
1651759465,-29,15,20,0.0
1651759469,-30,15,23,0.8
1651759472,-29,15,20,-1.0
1651759476,-34,15,36,4.0
1651759479,-29,13,20,-5.3
1651759483,-29,13,20,0.0
1651759486,-29,15,20,0.0
1651759490,-35,15,40,5.0
1651759493,-29,15,20,-6.7
1651759497,-29,15,20,0.0
1651759500,-29,15,20,0.0
1651759504,-31,15,25,1.2
1651759507,-30,15,23,-0.7
1651759511,-28,13,18,-1.2
1651759514,-28,14,18,0.0
1651759518,-30,13,23,1.2
1651759521,-29,13,20,-1.0
1651759525,-27,13,16,-1.0
1651759528,-28,15,18,0.7
1651759532,-28,15,18,0.0
1651759535,-28,15,18,0.0
1651759539,-31,15,25,1.8
1651759542,-29,15,20,-1.7
1651759546,-31,15,25,1.2
1651759549,-30,15,23,-0.7
1651759553,-29,15,20,-0.8
1651759556,-30,14,23,1.0
1651759560,-29,15,20,-0.8
1651759563,-30,15,23,1.0
1651759567,-30,15,23,0.0
1651759570,-33,15,32,3.0
1651759574,-28,14,18,-3.5
1651759577,-30,15,23,1.7
1651759581,-33,15,32,2.2
1651759584,-34,15,36,1.3
1651759588,-31,15,25,-2.8
