utc,rssi_dbm,mcs,implied_range_m,rate_m_per_s
1651760469,-30,14,23,
1651760472,-31,14,25,0.7
1651760476,-30,14,23,-0.5
1651760479,-30,14,23,0.0
1651760483,-31,14,25,0.5
1651760486,-30,14,23,-0.7
1651760490,-31,14,25,0.5
1651760494,-32,14,28,0.8
1651760497,-31,14,25,-1.0
1651760501,-38,14,57,8.0
1651760504,-37,14,51,-2.0
1651760508,-31,14,25,-6.5
1651760511,-31,15,25,0.0
1651760515,-30,14,23,-0.5
1651760519,-30,14,23,0.0
1651760522,-30,14,23,0.0
1651760526,-39,15,64,10.2
1651760529,-31,15,25,-13.0
1651760533,-30,15,23,-0.5
1651760536,-37,15,51,9.3
1651760540,-32,14,28,-5.8
1651760543,-31,14,25,-1.0
1651760547,-31,14,25,0.0
1651760551,-30,14,23,-0.5
1651760554,-31,14,25,0.7
1651760558,-37,14,51,6.5
1651760561,-31,13,25,-8.7
1651760565,-31,13,25,0.0
1651760569,-30,13,23,-0.5
1651760572,-31,13,25,0.7
1651760576,-31,13,25,0.0
1651760580,-31,13,25,0.0
1651760583,-31,13,25,0.0
1651760587,-31,13,25,0.0
1651760590,-31,13,25,0.0
1651760594,-37,13,51,6.5
1651760598,-31,13,25,-6.5
1651760601,-30,14,23,-0.7
1651760605,-36,14,45,5.5
1651760608,-32,15,28,-5.7
1651760612,-31,13,25,-0.8
1651760616,-30,13,23,-0.5
1651760619,-30,13,23,0.0
1651760623,-31,13,25,0.5
1651760626,-31,15,25,0.0
1651760630,-37,13,51,6.5
1651760634,-31,14,25,-6.5
1651760637,-36,14,45,6.7
1651760641,-37,14,51,1.5
1651760644,-31,14,25,-8.7
1651760648,-31,13,25,0.0
1651760652,-31,13,25,0.0
1651760655,-30,13,23,-0.7
1651760659,-30,13,23,0.0
1651760662,-32,13,28,1.7
1651760666,-31,13,25,-0.8
1651760669,-37,13,51,8.7
1651760673,-30,13,23,-7.0
1651760677,-30,13,23,0.0
1651760680,-30,13,23,0.0
1651760684,-31,13,25,0.5
1651760687,-30,13,23,-0.7
1651760691,-37,14,51,7.0
1651760694,-30,14,23,-9.3
1651760698,-31,14,25,0.5
1651760702,-35,14,40,3.8
1651760705,-29,14,20,-6.7
1651760709,-30,14,23,0.8
1651760712,-30,14,23,0.0
1651760716,-30,14,23,0.0
1651760719,-30,14,23,0.0
1651760723,-31,14,25,0.5
1651760727,-37,14,51,6.5
1651760730,-30,14,23,-9.3
1651760734,-37,14,51,7.0
1651760738,-31,14,25,-6.5
1651760741,-30,14,23,-0.7
1651760745,-30,13,23,0.0
1651760748,-36,13,45,7.3
1651760752,-31,13,25,-5.0
1651760755,-37,13,51,8.7
1651760759,-30,15,23,-7.0
1651760763,-30,13,23,0.0
1651760766,-30,13,23,0.0
1651760770,-37,15,51,7.0
1651760773,-34,15,36,-5.0
1651760777,-31,15,25,-2.8
1651760780,-29,15,20,-1.7
1651760784,-36,15,45,6.2
1651760788,-31,15,25,-5.0
1651760791,-31,15,25,0.0
1651760795,-30,14,23,-0.5
1651760798,-31,14,25,0.7
1651760802,-32,14,28,0.8
1651760806,-36,14,45,4.2
1651760809,-30,14,23,-7.3
1651760813,-29,14,20,-0.8
1651760816,-36,14,45,8.3
1651760820,-31,14,25,-5.0
1651760823,-31,14,25,0.0
1651760827,-31,14,25,0.0
1651760831,-37,14,51,6.5
1651760834,-31,14,25,-8.7
1651760838,-31,14,25,0.0
1651760842,-30,14,23,-0.5
1651760845,-31,15,25,0.7
1651760849,-31,14,25,0.0
1651760852,-36,14,45,6.7
1651760856,-37,14,51,1.5
1651760860,-36,14,45,-1.5
1651760863,-30,14,23,-7.3
1651760867,-36,15,45,5.5
1651760870,-31,15,25,-6.7
1651760874,-38,15,57,8.0
1651760878,-30,15,23,-8.5
1651760881,-30,15,23,0.0
1651760885,-37,14,51,7.0
1651760889,-30,14,23,-7.0
1651760892,-31,14,25,0.7
1651760896,-30,14,23,-0.5
1651760900,-36,14,45,5.5
1651760903,-31,14,25,-6.7
1651760907,-30,14,23,-0.5
1651760910,-38,14,57,11.3
1651760914,-30,14,23,-8.5
1651760918,-30,14,23,0.0
1651760921,-36,14,45,7.3
1651760925,-35,14,40,-1.2
1651760928,-30,15,23,-5.7
1651760932,-30,13,23,0.0
1651760936,-37,13,51,7.0
1651760939,-30,13,23,-9.3
1651760943,-30,15,23,0.0
1651760947,-30,15,23,0.0
1651760950,-30,15,23,0.0
1651760954,-30,15,23,0.0
1651760957,-30,12,23,0.0
1651760961,-31,12,25,0.5
1651760964,-31,12,25,0.0
1651760968,-31,12,25,0.0
1651760972,-31,12,25,0.0
